Country,Total_Observations,yield_with_spread_missing,yield_with_spread_missing_pct,sovereign_spread_missing,sovereign_spread_missing_pct,cpi_yoy_missing,cpi_yoy_missing_pct,gdp_annual_growth_rate_missing,gdp_annual_growth_rate_missing_pct,gdp_per_capita_missing,gdp_per_capita_missing_pct,gross gdp_missing,gross gdp_missing_pct,debt_to_gdp_missing,debt_to_gdp_missing_pct,deficit_to_gdp_missing,deficit_to_gdp_missing_pct,current_account_balance_missing,current_account_balance_missing_pct,vulnerability_missing,vulnerability_missing_pct,wgi_cc_missing,wgi_cc_missing_pct,wgi_ge_missing,wgi_ge_missing_pct,wgi_pv_missing,wgi_pv_missing_pct,wgi_rl_missing,wgi_rl_missing_pct,wgi_rq_missing,wgi_rq_missing_pct,wgi_va_missing,wgi_va_missing_pct,overall_completeness
ARE,195,195,100.0,195,100.0,0,0.0,54,27.7,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,195,100.0,10.768749999999997
ARG,828,672,81.2,672,81.2,648,78.3,78,9.4,0,0.0,0,0.0,24,2.9,0,0.0,0,0.0,132,15.9,228,27.5,228,27.5,228,27.5,228,27.5,228,27.5,228,27.5,72.88125
ARM,660,370,56.1,370,56.1,660,100.0,90,13.6,0,0.0,0,0.0,48,7.3,0,0.0,0,0.0,84,12.7,132,20.0,132,20.0,132,20.0,132,20.0,132,20.0,132,20.0,77.1375
AUS,984,10,1.0,10,1.0,138,14.0,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.61875
AUT,984,10,1.0,10,1.0,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,77.01875
BEL,984,10,1.0,10,1.0,132,13.4,24,2.4,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.61875
BGD,864,358,41.4,358,41.4,864,100.0,864,100.0,0,0.0,0,0.0,312,36.1,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,67.38125
BGR,768,58,7.6,58,7.6,90,11.7,90,11.7,0,0.0,0,0.0,96,12.5,0,0.0,0,0.0,108,14.1,180,23.4,180,23.4,180,23.4,180,23.4,180,23.4,180,23.4,87.15
BRA,732,296,40.4,296,40.4,12,1.6,39,5.3,0,0.0,0,0.0,120,16.4,0,0.0,0,0.0,108,14.8,168,23.0,168,23.0,168,23.0,168,23.0,168,23.0,168,23.0,83.94375
BWA,756,292,38.6,292,38.6,756,100.0,78,10.3,0,0.0,0,0.0,96,12.7,0,0.0,0,0.0,108,14.3,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,77.66874999999999
CAN,984,10,1.0,10,1.0,138,14.0,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.61875
CHE,984,10,1.0,10,1.0,132,13.4,30,3.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.58125
CHL,864,706,81.7,706,81.7,12,1.4,186,21.5,0,0.0,0,0.0,24,2.8,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,75.49374999999999
CHN,867,421,48.6,421,48.6,111,12.8,48,5.5,3,0.3,3,0.3,123,14.2,3,0.3,171,19.7,171,19.7,267,30.8,267,30.8,267,30.8,267,30.8,267,30.8,267,30.8,77.825
CIV,810,732,90.4,732,90.4,810,100.0,375,46.3,30,3.7,30,3.7,114,14.1,30,3.7,30,3.7,138,17.0,222,27.4,222,27.4,222,27.4,222,27.4,222,27.4,222,27.4,66.41250000000001
COL,864,452,52.3,452,52.3,12,1.4,282,32.6,0,0.0,0,0.0,144,16.7,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,77.60624999999999
CYP,804,194,24.1,194,24.1,222,27.6,102,12.7,0,0.0,0,0.0,60,7.5,0,0.0,0,0.0,108,13.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,83.6375
CZE,780,172,22.1,172,22.1,18,2.3,96,12.3,36,4.6,36,4.6,36,4.6,36,4.6,36,4.6,84,10.8,180,23.1,180,23.1,180,23.1,180,23.1,180,23.1,180,23.1,85.55
DEU,972,10,1.0,10,1.0,132,13.6,12,1.2,120,12.3,120,12.3,132,13.6,120,12.3,120,12.3,276,28.4,372,38.3,372,38.3,372,38.3,372,38.3,372,38.3,372,38.3,78.88749999999999
DNK,984,10,1.0,10,1.0,132,13.4,186,18.9,120,12.2,120,12.2,168,17.1,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,77.28125
EGY,756,444,58.7,444,58.7,414,54.8,255,33.7,0,0.0,0,0.0,96,12.7,0,0.0,0,0.0,108,14.3,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,180,23.8,76.51875
ESP,984,10,1.0,10,1.0,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,77.01875
EST,354,354,100.0,354,100.0,36,10.2,3,0.8,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,354,100.0,11.8125
ETH,342,342,100.0,342,100.0,63,18.4,213,62.3,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,7.456249999999997
EUR,547,0,0.0,0,0.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,547,100.0,12.5
FIN,984,12,1.2,12,1.2,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,76.99375
FRA,984,10,1.0,10,1.0,132,13.4,12,1.2,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.69375
GBR,984,10,1.0,10,1.0,132,13.4,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.65625
GHA,318,318,100.0,318,100.0,0,0.0,78,24.5,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,318,100.0,10.96875
GRC,962,72,7.5,72,7.5,110,11.4,260,27.0,98,10.2,98,10.2,98,10.2,98,10.2,98,10.2,266,27.7,362,37.6,362,37.6,362,37.6,362,37.6,362,37.6,362,37.6,77.64375
HKG,804,211,26.2,211,26.2,336,41.8,12,1.5,120,14.9,120,14.9,288,35.8,120,14.9,120,14.9,804,100.0,276,34.3,276,34.3,276,34.3,276,34.3,276,34.3,276,34.3,68.94375
HRV,816,400,49.0,400,49.0,348,42.6,114,14.0,0,0.0,0,0.0,144,17.6,0,0.0,0,0.0,120,14.7,216,26.5,216,26.5,216,26.5,216,26.5,216,26.5,216,26.5,78.38125
HUN,804,166,20.6,166,20.6,12,1.5,96,11.9,0,0.0,0,0.0,60,7.5,0,0.0,0,0.0,108,13.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,85.75625
IDN,828,438,52.9,438,52.9,48,5.8,228,27.5,0,0.0,0,0.0,204,24.6,0,0.0,0,0.0,132,15.9,228,27.5,228,27.5,228,27.5,228,27.5,228,27.5,228,27.5,78.4625
IND,984,10,1.0,10,1.0,984,100.0,366,37.2,120,12.2,120,12.2,144,14.6,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,70.88125
IRL,924,10,1.1,10,1.1,132,14.3,216,23.4,120,13.0,120,13.0,180,19.5,120,13.0,120,13.0,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,78.33125
ISL,864,350,40.5,350,40.5,12,1.4,138,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,81.1625
ISR,744,420,56.5,420,56.5,18,2.4,90,12.1,0,0.0,0,0.0,120,16.1,0,0.0,0,0.0,108,14.5,168,22.6,168,22.6,168,22.6,168,22.6,168,22.6,168,22.6,81.64375
ITA,984,10,1.0,10,1.0,132,13.4,12,1.2,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.69375
JPN,984,10,1.0,10,1.0,132,13.4,30,3.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.58125
KEN,864,452,52.3,452,52.3,510,59.0,354,41.0,0,0.0,0,0.0,192,22.2,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,73.13749999999999
KOR,924,328,35.5,328,35.5,132,14.3,12,1.3,120,13.0,120,13.0,120,13.0,120,13.0,120,13.0,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,75.81875
KWT,258,258,100.0,258,100.0,84,32.6,3,1.2,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,258,100.0,10.387500000000003
LKA,847,592,69.9,592,69.9,847,100.0,328,38.7,7,0.8,7,0.8,7,0.8,7,0.8,7,0.8,151,17.8,247,29.2,247,29.2,247,29.2,247,29.2,247,29.2,247,29.2,70.28125
LTU,720,106,14.7,106,14.7,12,1.7,60,8.3,36,5.0,36,5.0,72,10.0,36,5.0,36,5.0,84,11.7,144,20.0,144,20.0,144,20.0,144,20.0,144,20.0,144,20.0,87.43125
LUX,924,14,1.5,14,1.5,132,14.3,222,24.0,120,13.0,120,13.0,180,19.5,120,13.0,180,19.5,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,77.8375
LVA,744,108,14.5,108,14.5,12,1.6,66,8.9,0,0.0,0,0.0,72,9.7,0,0.0,0,0.0,84,11.3,156,21.0,156,21.0,156,21.0,156,21.0,156,21.0,156,21.0,88.34375
MAR,252,252,100.0,252,100.0,45,17.9,0,0.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,252,100.0,11.381249999999994
MEX,864,286,33.1,286,33.1,24,2.8,108,12.5,0,0.0,0,0.0,144,16.7,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,81.175
MLT,685,115,16.8,115,16.8,223,32.6,103,15.0,1,0.1,1,0.1,1,0.1,1,0.1,1,0.1,49,7.2,109,15.9,109,15.9,109,15.9,109,15.9,109,15.9,109,15.9,88.48125
MYS,984,10,1.0,10,1.0,396,40.2,378,38.4,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,74.69375
NAM,864,66,7.6,66,7.6,864,100.0,270,31.2,0,0.0,0,0.0,72,8.3,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,77.64375
NGA,864,442,51.2,442,51.2,408,47.2,522,60.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,168,19.4,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,264,30.6,74.18749999999999
NLD,924,10,1.1,10,1.1,132,14.3,120,13.0,120,13.0,120,13.0,120,13.0,120,13.0,120,13.0,228,24.7,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,324,35.1,79.38749999999999
NOR,984,10,1.0,10,1.0,132,13.4,18,1.8,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.65625
NZL,984,10,1.0,10,1.0,132,13.4,105,10.7,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.1
PAK,936,45,4.8,45,4.8,936,100.0,729,77.9,132,14.1,132,14.1,180,19.2,120,12.8,120,12.8,240,25.6,336,35.9,336,35.9,336,35.9,336,35.9,336,35.9,336,35.9,68.65625
PER,864,378,43.8,378,43.8,522,60.4,18,2.1,120,13.9,120,13.9,240,27.8,120,13.9,120,13.9,228,26.4,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,71.26875
PHL,960,296,30.8,296,30.8,618,64.4,12,1.2,96,10.0,96,10.0,168,17.5,96,10.0,96,10.0,264,27.5,360,37.5,360,37.5,360,37.5,360,37.5,360,37.5,360,37.5,72.675
POL,804,198,24.6,198,24.6,18,2.2,78,9.7,0,0.0,0,0.0,60,7.5,0,0.0,0,0.0,108,13.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,85.35
PRT,984,12,1.2,12,1.2,132,13.4,276,28.0,120,12.2,120,12.2,120,12.2,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,76.99375
QAT,852,600,70.4,600,70.4,510,59.9,462,54.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,156,18.3,252,29.6,252,29.6,252,29.6,252,29.6,252,29.6,252,29.6,71.82499999999999
ROU,852,316,37.1,316,37.1,270,31.7,150,17.6,0,0.0,0,0.0,228,26.8,0,0.0,0,0.0,156,18.3,252,29.6,252,29.6,252,29.6,252,29.6,252,29.6,252,29.6,78.3625
RUS,744,111,14.9,111,14.9,102,13.7,66,8.9,0,0.0,0,0.0,60,8.1,0,0.0,0,0.0,84,11.3,156,21.0,156,21.0,156,21.0,156,21.0,156,21.0,156,21.0,87.6375
SAU,402,402,100.0,402,100.0,48,11.9,135,33.6,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,9.65625
SGP,552,226,40.9,226,40.9,321,58.2,6,1.1,120,21.7,120,21.7,120,21.7,120,21.7,120,21.7,204,37.0,252,45.7,252,45.7,252,45.7,252,45.7,252,45.7,252,45.7,64.95
SRB,684,528,77.2,528,77.2,684,100.0,36,5.3,48,7.0,60,8.8,60,8.8,48,7.0,60,8.8,48,7.0,108,15.8,108,15.8,108,15.8,108,15.8,108,15.8,108,15.8,74.88125
SVK,780,100,12.8,100,12.8,12,1.5,78,10.0,12,1.5,12,1.5,36,4.6,12,1.5,12,1.5,84,10.8,180,23.1,180,23.1,180,23.1,180,23.1,180,23.1,180,23.1,87.68125
SVN,804,266,33.1,266,33.1,12,1.5,102,12.7,24,3.0,24,3.0,60,7.5,24,3.0,24,3.0,108,13.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,204,25.4,83.39375
SWE,984,12,1.2,12,1.2,132,13.4,36,3.7,120,12.2,120,12.2,192,19.5,120,12.2,120,12.2,288,29.3,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,384,39.0,78.05625
THA,864,28,3.2,28,3.2,522,60.4,186,21.5,120,13.9,120,13.9,192,22.2,120,13.9,120,13.9,228,26.4,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,75.48124999999999
TUR,744,370,49.7,370,49.7,12,1.6,126,16.9,0,0.0,0,0.0,120,16.1,0,0.0,0,0.0,108,14.5,168,22.6,168,22.6,168,22.6,168,22.6,168,22.6,168,22.6,82.24375
TWN,552,185,33.5,185,33.5,552,100.0,6,1.1,120,21.7,120,21.7,204,37.0,120,21.7,120,21.7,552,100.0,252,45.7,252,45.7,252,45.7,252,45.7,252,45.7,252,45.7,58.36874999999999
UGA,780,476,61.0,476,61.0,780,100.0,390,50.0,0,0.0,0,0.0,84,10.8,0,0.0,0,0.0,108,13.8,192,24.6,192,24.6,192,24.6,192,24.6,192,24.6,192,24.6,72.23749999999998
UKR,306,306,100.0,306,100.0,72,23.5,3,1.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,306,100.0,10.96875
URY,327,327,100.0,327,100.0,96,29.4,0,0.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,10.662499999999994
USA,852,852,100.0,852,100.0,132,15.5,12,1.4,120,14.1,120,14.1,252,29.6,120,14.1,120,14.1,228,26.8,288,33.8,288,33.8,288,33.8,288,33.8,288,33.8,288,33.8,66.71875
VNM,768,378,49.2,378,49.2,234,30.5,168,21.9,0,0.0,0,0.0,144,18.8,0,0.0,0,0.0,108,14.1,180,23.4,180,23.4,180,23.4,180,23.4,180,23.4,180,23.4,79.74375
ZAF,864,10,1.2,10,1.2,144,16.7,186,21.5,120,13.9,120,13.9,240,27.8,120,13.9,120,13.9,228,26.4,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,288,33.3,78.1125
ZMB,774,342,44.2,342,44.2,774,100.0,306,39.5,30,3.9,30,3.9,174,22.5,30,3.9,30,3.9,138,17.8,198,25.6,198,25.6,198,25.6,198,25.6,198,25.6,198,25.6,72.6625
