Country,sovereign_yield,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,debt_to_gdp,deficit_to_gdp,current_account_balance,NEER,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,Rating_Fitch,Outlook_Fitch,Rating_S&P,Outlook_S&P,Rating_DBRS,Outlook_DBRS,Rating_Moody's,Outlook_Moody's
CAN,1.0%,1.0%,14.0%,1.8%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,11.5%,11.5%,9.5%,20.3%,23.0%,23.0%
NLD,1.1%,1.1%,14.3%,13.0%,13.0%,13.0%,13.0%,13.0%,18.2%,24.7%,35.1%,35.1%,35.1%,35.1%,35.1%,35.1%,18.9%,34.2%,13.0%,13.0%,61.9%,61.9%,7.8%,7.8%
DEU,1.0%,1.0%,13.6%,1.2%,12.3%,13.6%,12.3%,12.3%,19.8%,28.4%,38.3%,38.3%,38.3%,38.3%,38.3%,38.3%,22.4%,37.4%,4.4%,11.6%,64.0%,64.0%,7.5%,7.5%
IRL,1.1%,1.1%,14.3%,23.3%,13.0%,19.4%,13.0%,13.0%,18.1%,24.6%,35.0%,35.0%,35.0%,35.0%,35.0%,35.0%,19.1%,34.1%,11.3%,12.2%,59.6%,59.6%,9.7%,9.7%
CHE,1.0%,1.0%,13.4%,3.0%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,10.7%,11.5%,64.6%,64.6%,2.4%,2.4%
JPN,1.0%,1.0%,13.4%,3.0%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,33.3%,11.5%,11.5%,70.3%,70.3%,2.1%,2.1%
ITA,1.0%,1.0%,13.4%,1.2%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,10.8%,11.5%,63.6%,63.6%,8.2%,8.2%
BEL,1.0%,1.0%,13.4%,2.4%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,10.7%,11.5%,65.4%,65.4%,10.0%,10.0%
NOR,1.0%,1.0%,13.4%,1.8%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,24.8%,38.2%,11.5%,11.5%,66.3%,66.3%,9.1%,9.1%
DNK,1.0%,1.0%,13.4%,18.9%,12.2%,17.0%,12.2%,12.2%,20.7%,29.2%,38.9%,38.9%,38.9%,38.9%,38.9%,38.9%,23.3%,38.1%,1.4%,11.5%,67.5%,67.5%,8.0%,8.0%
PRT,1.2%,1.2%,13.3%,27.9%,12.1%,12.1%,12.1%,12.1%,20.6%,29.1%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%,23.2%,38.0%,10.6%,11.4%,62.8%,62.8%,8.3%,8.3%
ESP,1.0%,1.0%,13.4%,27.9%,12.1%,12.1%,12.1%,12.1%,20.6%,29.1%,38.9%,38.9%,38.9%,38.9%,38.9%,38.9%,23.3%,38.1%,10.4%,11.4%,62.8%,62.8%,9.8%,9.8%
SWE,1.2%,1.2%,13.4%,3.7%,12.2%,19.5%,12.2%,12.2%,20.7%,29.4%,39.1%,39.1%,39.1%,39.1%,39.1%,39.1%,23.5%,38.3%,11.5%,11.5%,66.5%,66.5%,14.6%,14.6%
FIN,1.2%,1.2%,13.4%,28.0%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,11.5%,11.5%,67.3%,67.3%,7.4%,7.4%
LUX,1.5%,1.5%,14.3%,24.0%,13.0%,19.5%,13.0%,19.5%,18.2%,24.7%,35.1%,35.1%,35.1%,35.1%,35.1%,35.1%,18.9%,34.2%,18.5%,18.5%,76.4%,76.4%,12.6%,12.6%
GRC,9.5%,9.5%,13.3%,28.4%,12.1%,12.1%,12.1%,12.1%,20.5%,29.0%,38.6%,38.6%,38.6%,38.6%,38.6%,38.6%,26.2%,35.2%,10.5%,11.4%,69.8%,69.8%,13.3%,13.3%
BRA,49.1%,49.1%,15.4%,18.6%,14.0%,28.0%,14.0%,14.0%,19.6%,26.6%,33.6%,33.6%,33.6%,33.6%,33.6%,33.6%,20.9%,29.0%,20.8%,20.8%,45.1%,45.1%,9.5%,9.5%
ZAF,1.2%,1.2%,16.7%,21.5%,13.9%,27.8%,13.9%,13.9%,19.4%,26.4%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,20.4%,25.1%,20.5%,20.5%,100.0%,100.0%,20.5%,20.5%
KOR,36.7%,36.7%,14.0%,1.3%,12.7%,12.7%,12.7%,12.7%,17.8%,24.2%,36.2%,36.2%,36.2%,36.2%,36.2%,36.2%,22.7%,26.7%,11.1%,12.0%,100.0%,100.0%,8.7%,8.7%
GBR,1.0%,1.0%,13.4%,1.8%,12.2%,12.2%,12.2%,12.2%,20.7%,29.3%,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,23.4%,38.2%,11.5%,11.5%,62.2%,62.2%,66.1%,66.1%
