,SMD_before,SMD_after
ln_gdp_per_capita_lag1,1.3923628366998748,0.30086925901073674
wgi_ge_lag1,1.3545851818458943,0.06838855307706593
deficit_to_gdp_lag1,0.9609828320662367,0.1335646298497813
cpi_yoy_lag1,0.5407790138548553,0.40553647180388275
ln_population_lag1,0.41059776438673,0.0072912852078728
current_account_balance_lag1,0.2327256324473099,0.08641760645611037
gdp_annual_growth_rate_lag1,0.2228715340664879,0.002169828370564089
debt_to_gdp_lag1,0.045659183755968266,0.029452496576305782
mineral_rent_lag1,0.0422296298593726,0.009428338756401767
extreme_change_flag,0.03554441048139354,0.01890479130063107
