fold,year_holdout,n_train,n_test,n_kept,p_oos_r2,m_oos_r2
0,1997,1467,32,32,0.7805904287935244,0.3055051764541695
1,1998,1465,34,34,-6.021019738143564,-3.17928649963027
2,1999,1463,36,36,0.7164972725089823,0.8274342533757354
3,2000,1461,38,38,0.5798954444094229,0.1398301097801249
4,2001,1459,40,40,0.5530738439888021,0.7588484576766881
5,2002,1457,42,42,0.5846811437337804,0.4274375346963176
6,2003,1455,44,44,0.6515632688514605,0.7603237475243555
7,2004,1453,46,46,0.7513289605977522,0.8630593837992173
8,2005,1452,47,47,0.7693910675491846,0.6900534977399964
9,2006,1451,48,48,0.7857486297338744,0.41711640877761946
10,2007,1452,47,47,0.7873205286591622,0.5411681218434823
11,2008,1447,52,52,0.8095007473055741,0.856789852637134
12,2009,1446,53,53,0.8197139272349068,0.6588231184367546
13,2010,1444,55,55,0.8376335804567255,0.8306114346373362
14,2011,1443,56,56,0.8369013906501575,0.5529950679131271
15,2012,1441,58,58,0.8336821226110406,0.7086393410268956
16,2013,1436,63,63,0.8496381616531852,0.8605291281788349
17,2014,1436,63,63,0.8220189162806739,0.916666183424765
18,2015,1434,65,65,0.8215534428908013,0.9039317865177005
19,2016,1435,64,64,0.8188083840081584,0.9071849916745716
20,2017,1435,64,64,0.8165223248233477,0.9612977757461239
21,2018,1435,64,64,0.8133651453054516,0.8527584315841689
22,2019,1435,64,64,0.8106954869372852,0.9584921465806305
23,2020,1434,65,65,0.8223952076798738,0.9141379107592031
24,2021,1433,66,66,0.8260465105608804,0.892524559007194
25,2022,1433,66,66,0.8017517236727745,0.9277088174534465
26,2023,1433,66,66,0.8193177974942416,0.8208954377237094
27,2024,1438,61,61,0.8380190629500976,0.8677088975985439
