country_left_out,theta,se,n_obs,note
BGR,-0.008612496781852916,0.010527376862325593,1440,
RUS,0.018985994017888533,0.018006110410410895,1441,
NAM,0.2738763684067076,0.26563294432239065,1440,
PAK,0.2763994866996225,0.2679918820931091,1440,
BWA,0.2837210437186239,0.2712639114802111,1449,
KEN,0.318432203690244,0.29550059414218244,1453,
IND,0.3700056419567483,0.321620401313701,1440,
BGD,0.37084622436466025,0.3275187180400274,1448,
MYS,0.40273050573897373,0.32947497771135714,1440,
EGY,0.4244626462548185,0.33633594750940804,1457,
COL,0.425150407605888,0.34121055807357237,1451,
DNK,0.4286093135309174,0.3365478634509692,1440,
FRA,0.43095531020223254,0.3275499538292444,1440,
ESP,0.4367961710018258,0.3387007827326846,1440,
CAN,0.4407081902156533,0.3358609543700371,1440,
VNM,0.44196231313423706,0.340535924093744,1454,
FIN,0.4430650918433993,0.3373875515693634,1440,
ITA,0.4435896126715977,0.3323772676577527,1440,
CYP,0.4436804082514913,0.3410246674802898,1442,
ZAF,0.4437513215816574,0.3472528122887358,1440,
TUR,0.4438429014515241,0.3324085274391949,1455,
SRB,0.4443073139967306,0.33098281796003437,1463,
AUT,0.4444578832604129,0.33412581064933794,1440,
GRC,0.44467289294857093,0.34009141765932194,1440,
AUS,0.4447577201352526,0.3419942606499901,1440,
ISL,0.4454892125450325,0.3347440007599266,1449,
MEX,0.4464448549098502,0.3364103320951048,1446,
GBR,0.4485781274540419,0.33878121188800814,1440,
HRV,0.4489247971421628,0.32579396894699936,1453,
CHE,0.44916629177559764,0.3357444050300939,1440,
LTU,0.4497625490334785,0.3253349529133166,1442,
THA,0.44977496675887046,0.33612882001941075,1440,
BRA,0.44986960098171686,0.3331139711207037,1452,
ARG,0.44993142001565467,0.327099004044285,1460,
ISR,0.4500897493710425,0.33717070372291635,1457,
JPN,0.45043769495219055,0.33605861805976883,1440,
CIV,0.45049911188759645,0.33684853675858994,1463,
LKA,0.4514487179664734,0.3330470376171172,1459,
NLD,0.45194540591796084,0.33268964956436,1440,
PER,0.45323782183612327,0.3394122128071533,1450,
SGP,0.4544565942122324,0.32842975013280307,1443,
CZE,0.4544652174543631,0.33117591535879004,1445,
MLT,0.45515575398571945,0.334120797739976,1440,
CHL,0.4562672948298484,0.3344960514693835,1464,
DEU,0.45792236664530744,0.33294888988600657,1440,
SVK,0.45808945145621166,0.3301127026914106,1440,
ROU,0.458222548503554,0.3290466695057959,1446,
IDN,0.45824595350078273,0.3374170703896555,1454,
PRT,0.45846872586995446,0.33714672092264286,1440,
NGA,0.45873872955080836,0.32959446611642,1452,
PHL,0.45879431952642297,0.3426194747131367,1441,
KOR,0.45950343436742375,0.33513187830652685,1445,
NOR,0.46056656556135256,0.34793548408824926,1440,
POL,0.46160573625747214,0.3265986784396591,1444,
ZMB,0.46215292451040657,0.3310490300970118,1452,
SVN,0.46554103693047566,0.3382158274498666,1447,
LVA,0.4688527134809051,0.33726727551443625,1443,
BEL,0.4691718906795353,0.33472642860979385,1440,
HUN,0.469394692179938,0.3361370670615027,1444,
IRL,0.4700032648511538,0.3316969467718181,1440,
UGA,0.47154720418391255,0.3217025662389799,1457,
SWE,0.47166462499463363,0.34156786216249435,1440,
NZL,0.47444206126982325,0.34425246295213935,1440,
QAT,0.4901646683790804,0.3257527692977392,1457,
CHN,0.4938472314983687,0.2784124732924713,1452,
LUX,0.5011412900893311,0.31715483842173436,1440,
ARM,0.5094781079936738,0.32573860602943916,1458,
