R_max,beta_adj
0.6899069628115698,-0.018163494197012783
0.706227648979382,-0.027025881223581627
0.7225483351471941,-0.03588826825015047
0.7388690213150062,-0.0447506552767193
0.7551897074828183,-0.05361304230328815
0.7715103936506305,-0.06247542932985699
0.7878310798184425,-0.07133781635642578
0.8041517659862546,-0.0802002033829946
0.8204724521540667,-0.08906259040956345
0.8367931383218788,-0.09792497743613231
0.853113824489691,-0.10678736446270114
0.8694345106575031,-0.11564975148926998
0.8857551968253152,-0.12451213851583881
0.9020758829931274,-0.13337452554240764
0.9183965691609395,-0.14223691256897653
0.9347172553287515,-0.1510992995955453
0.9510379414965637,-0.15996168662211419
0.9673586276643757,-0.16882407364868296
0.983679313832188,-0.1776864606752519
1.0,-0.18654884770182062
