fold,year_holdout,n_train,n_test,n_train_ok,train_variation,n_test_ok,used,reason
0,1995,1438,30,1438,True,30,True,
1,1996,1436,32,1436,True,32,True,
2,1997,1434,34,1434,True,34,True,
3,1998,1432,36,1432,True,36,True,
4,1999,1430,38,1430,True,38,True,
5,2000,1428,40,1428,True,40,True,
6,2001,1426,42,1426,True,42,True,
7,2002,1424,44,1424,True,44,True,
8,2003,1422,46,1422,True,46,True,
9,2004,1421,47,1421,True,47,True,
10,2005,1420,48,1420,True,48,True,
11,2006,1420,48,1420,True,48,True,
12,2007,1417,51,1417,True,51,True,
13,2008,1414,54,1414,True,54,True,
14,2009,1413,55,1413,True,55,True,
15,2010,1411,57,1411,True,57,True,
16,2011,1412,56,1412,True,56,True,
17,2012,1405,63,1405,True,63,True,
18,2013,1404,64,1404,True,64,True,
19,2014,1404,64,1404,True,64,True,
20,2015,1403,65,1403,True,65,True,
21,2016,1404,64,1404,True,64,True,
22,2017,1404,64,1404,True,64,True,
23,2018,1403,65,1403,True,65,True,
24,2019,1404,64,1404,True,64,True,
25,2020,1403,65,1403,True,65,True,
26,2021,1402,66,1402,True,66,True,
27,2022,1402,66,1402,True,66,True,
