fold,m_oos_r2
0,-0.0014973367576200936
1,0.10909906634606692
2,0.826890687699724
3,-13.980034755882109
4,0.8188414980794845
5,0.14128437144513295
6,0.3172521977594749
7,0.8659418234494115
8,0.8363026631793448
9,0.9327037737719748
10,0.6467260451093784
11,0.7933832972520043
12,0.8269505559141426
13,0.7396763028980282
14,0.8149855389004516
15,0.8543141774338024
16,0.709800187142068
17,0.6727982618284838
18,0.7761414350505207
19,0.9217877896273824
20,0.9191374075415542
21,0.9454203705080884
22,0.9424290675764346
23,0.8595555222608345
24,0.8712428451051455
25,0.9098078549255219
26,0.9642183204213107
27,0.8848651399049691
28,0.9370455696878927
