fold,p_oos_r2
0,-1.8917007572382785
1,0.7936070635796076
2,0.395943305591124
3,-3.267558290673886
4,0.3176634323750973
5,0.8446628146543407
6,0.38562983895946623
7,0.8522286145792334
8,0.856805903207073
9,0.8889524358241334
10,0.8857885245911806
11,0.870370765633395
12,0.8702482679557609
13,0.892370374841497
14,0.8987513920651864
15,0.8666322037367071
16,0.8805020364581995
17,0.8614516705482285
18,0.8729672006493417
19,0.8969360763351061
20,0.9046289501853331
21,0.9082497446309762
22,0.9124973150558366
23,0.9122956751994564
24,0.911066013489509
25,0.9221432904999138
26,0.9220622485765486
27,0.9186662832776183
28,0.9199093749828242
