Variable,Mean,Median,Std. Dev.,N
yield_with_spread,5.98,4.84,7.44,35367
sovereign_spread,2.61,0.88,7.35,35367
cpi_yoy,4.16,2.39,26.79,29631
gdp_annual_growth_rate,2.97,3.0,4.26,33572
gdp_per_capita,25212.6,18506.08,23756.43,35367
gross gdp,780.75,279.3,1571.39,35367
debt_to_gdp,58.62,50.83,36.11,35246
deficit_to_gdp,12824.59,802.01,21152.1,35367
current_account_balance,0.27,-0.32,5.95,35367
vulnerability,0.37,0.35,0.07,35367
wgi_cc,0.64,0.52,1.04,32195
wgi_ge,0.78,0.83,0.85,32195
wgi_pv,0.32,0.57,0.92,32195
wgi_rl,0.7,0.79,0.91,32195
wgi_rq,0.78,0.89,0.79,32195
wgi_va,0.65,0.91,0.83,32195
sovereign_spread_lag1,2.61,0.87,7.35,35286
sovereign_spread_lag2,2.6,0.87,7.36,35215
